valid_time,latitude,longitude,d2m
2020-01-04 07:00:00,4.500000000000837,-74.20000000000351,280.39813
2020-01-04 08:00:00,4.500000000000837,-74.20000000000351,280.25055
2020-01-04 09:00:00,4.500000000000837,-74.20000000000351,280.0213
2020-01-04 10:00:00,4.500000000000837,-74.20000000000351,279.62323
2020-01-04 11:00:00,4.500000000000837,-74.20000000000351,279.51443
2020-01-04 12:00:00,4.500000000000837,-74.20000000000351,279.73883
2020-01-04 13:00:00,4.500000000000837,-74.20000000000351,279.80005
2020-01-04 14:00:00,4.500000000000837,-74.20000000000351,278.91794
2020-01-04 15:00:00,4.500000000000837,-74.20000000000351,279.44165
2020-01-04 16:00:00,4.500000000000837,-74.20000000000351,279.93695
2020-01-04 17:00:00,4.500000000000837,-74.20000000000351,280.0445
2020-01-04 18:00:00,4.500000000000837,-74.20000000000351,280.3664
